航班日期,航班号,实际销售额（sale_volume）
2023-05-10,KN5977,96861.0
2023-05-10,KN5978,109229.0
2023-05-11,KN5737,156205.0
2023-05-11,KN5738,239784.0
2023-05-11,KN5955,200466.0
2023-05-11,KN5956,195788.0
2023-05-11,KN5977,98410.0
2023-05-11,KN5978,117867.92
2023-05-12,KN5737,167677.0
2023-05-12,KN5738,223022.0
2023-05-12,KN5955,329385.0
2023-05-12,KN5956,245510.0
2023-05-12,KN5977,135360.0
2023-05-12,KN5978,103600.69
2023-05-13,KN5737,155318.0
2023-05-13,KN5738,215189.0
2023-05-13,KN5955,209614.0
2023-05-13,KN5956,175412.0
2023-05-13,KN5977,100691.0
2023-05-13,KN5978,68632.21
2023-05-14,KN5737,148860.0
2023-05-14,KN5738,196954.0
2023-05-14,KN5955,262174.0
2023-05-14,KN5956,232100.0
2023-05-14,KN5977,87742.0
2023-05-14,KN5978,98952.0
2023-05-15,KN5737,164138.0
2023-05-15,KN5738,227714.0
2023-05-15,KN5955,204105.0
2023-05-15,KN5956,171198.0
2023-05-15,KN5977,88895.0
2023-05-15,KN5978,122195.0
2023-05-16,KN5737,150005.0
2023-05-16,KN5738,204959.0
2023-05-16,KN5955,192953.0
2023-05-16,KN5956,206223.0
2023-05-16,KN5977,100565.0
2023-05-16,KN5978,106999.0
2023-05-17,KN5737,155954.0
2023-05-17,KN5738,234213.0
2023-05-17,KN5955,220685.0
2023-05-17,KN5956,162746.0
2023-05-17,KN5977,112880.0
2023-05-17,KN5978,107186.0
2023-05-18,KN5737,157435.0
2023-05-18,KN5738,217174.0
2023-05-18,KN5955,229625.0
2023-05-18,KN5956,204302.4
2023-05-18,KN5977,108424.0
2023-05-18,KN5978,123159.26
2023-05-19,KN5737,142863.0
2023-05-19,KN5738,206168.0
2023-05-19,KN5955,282354.0
2023-05-19,KN5956,263795.0
2023-05-19,KN5977,141983.0
2023-05-19,KN5978,98919.0
2023-05-20,KN5737,150630.0
2023-05-20,KN5738,222494.0
2023-05-20,KN5955,175417.0
2023-05-20,KN5956,143408.0
2023-05-20,KN5977,75145.0
2023-05-20,KN5978,111270.69
2023-05-21,KN5737,124629.0
2023-05-21,KN5738,202383.0
2023-05-21,KN5955,229007.0
2023-05-21,KN5956,199088.0
2023-05-21,KN5977,96367.0
2023-05-22,KN5737,162960.0
2023-05-22,KN5738,188086.0
2023-05-22,KN5955,199768.0
2023-05-22,KN5956,179741.0
2023-05-22,KN5977,98397.0
2023-05-22,KN5978,114442.92
2023-05-23,KN5737,132530.0
2023-05-23,KN5738,199987.0
2023-05-23,KN5955,205531.0
2023-05-23,KN5956,145446.0
2023-05-23,KN5977,82799.56
2023-05-23,KN5978,80596.0
2023-05-24,KN5737,123095.0
2023-05-24,KN5738,197533.0
2023-05-24,KN5955,188410.0
2023-05-24,KN5956,161332.0
2023-05-24,KN5977,77466.0
2023-05-24,KN5978,105850.0
2023-05-25,KN5737,130390.0
2023-05-25,KN5738,207189.0
2023-05-25,KN5955,192630.0
2023-05-25,KN5956,172699.0
2023-05-25,KN5977,69087.0
2023-05-25,KN5978,119015.38
2023-05-26,KN5737,100579.0
2023-05-26,KN5738,186950.0
2023-05-26,KN5955,245670.0
2023-05-26,KN5956,267839.0
2023-05-26,KN5977,101295.0
2023-05-26,KN5978,121413.3
2023-05-27,KN5737,126295.0
2023-05-27,KN5738,217865.0
2023-05-27,KN5955,163746.0
2023-05-27,KN5956,131770.0
2023-05-27,KN5977,66439.0
2023-05-27,KN5978,85907.0
2023-05-28,KN5737,103283.0
2023-05-28,KN5738,189494.0
2023-05-28,KN5955,239528.0
2023-05-28,KN5956,208207.0
2023-05-28,KN5977,66269.0
2023-05-28,KN5978,85787.57
2023-05-29,KN5737,174323.0
2023-05-29,KN5738,179226.0
2023-05-29,KN5955,96795.0
2023-05-29,KN5956,77851.0
2023-05-29,KN5977,68460.0
2023-05-29,KN5978,81102.5
