航班日期,实际销售额（sale_volume）
2023/5/12,103600.69
2023/5/12,329385
2023/5/13,155318
2023/5/13,100691
2023/5/13,68632.21
2023/5/13,175412
2023/5/13,215189
2023/5/13,209614
2023/5/14,98952
2023/5/14,232100
2023/5/14,148860
2023/5/14,262174
2023/5/14,87742
2023/5/14,196954
2023/5/15,164138
2023/5/15,122195
2023/5/15,171198
2023/5/15,88895
2023/5/15,227714
2023/5/15,204105
2023/5/16,150005
2023/5/16,204959
2023/5/16,100565
2023/5/16,192953
2023/5/16,206223
2023/5/16,106999
2023/5/17,162746
2023/5/17,112880
2023/5/17,234213
2023/5/17,220685
2023/5/17,107186
2023/5/17,155954
2023/5/18,204302.4
2023/5/18,108424
2023/5/18,229625
2023/5/18,217174
2023/5/18,123159.26
2023/5/18,157435
2023/5/19,206168
2023/5/19,142863
2023/5/19,98919
2023/5/19,263795
2023/5/19,282354
2023/5/19,141983
2023/5/20,222494
2023/5/20,175417
2023/5/20,75145
2023/5/20,150630
2023/5/20,111270.69
2023/5/20,143408
2023/5/21,229007
2023/5/21,124629
2023/5/21,202383
2023/5/21,199088
2023/5/21,96367
2023/5/22,199768
2023/5/22,188086
2023/5/22,179741
2023/5/22,98397
2023/5/22,114442.92
2023/5/22,162960
2023/5/23,145446
2023/5/23,82799.56
2023/5/23,80596
2023/5/23,132530
2023/5/23,205531
2023/5/23,199987
2023/5/24,123095
2023/5/24,161332
2023/5/24,197533
2023/5/24,188410
2023/5/24,77466
2023/5/24,105850
2023/5/25,172699
2023/5/25,207189
2023/5/25,192630
2023/5/25,130390
2023/5/25,69087
2023/5/25,119015.38
2023/5/26,121413.3
2023/5/26,186950
2023/5/26,267839
2023/5/26,100579
2023/5/26,245670
2023/5/26,101295
2023/5/27,131770
2023/5/27,85907
2023/5/27,217865
2023/5/27,163746
2023/5/27,126295
2023/5/27,66439
2023/5/28,85787.57
2023/5/28,189494
2023/5/28,103283
2023/5/28,239528
2023/5/28,208207
2023/5/28,66269
2023/5/29,68460
2023/5/29,96795
2023/5/29,174323
2023/5/29,179226
2023/5/29,81102.5
2023/5/29,77851
2023/5/30,110009
2023/5/30,180088
2023/5/30,91802
2023/5/30,99772.6
2023/5/30,168321
2023/5/30,204412
2023/5/31,62689
2023/5/31,58382
2023/5/31,151780
2023/5/31,127938
2023/5/31,194230
2023/5/31,193179.25
2023/6/1,119713
2023/6/1,205620
2023/6/1,174311
2023/6/1,80990
2023/6/1,86733.89
2023/6/1,215108
2023/6/2,120304
2023/6/2,101808.67
2023/6/2,226369
2023/6/2,253087
2023/6/2,74419
2023/6/2,169586
2023/6/3,117854
2023/6/3,66109.96
2023/6/3,79000
2023/6/3,155916
2023/6/3,108878
2023/6/3,133613
2023/6/4,117881
2023/6/4,70707
2023/6/4,90440.9
2023/6/4,167519
2023/6/4,256437
2023/6/4,94644
2023/6/5,199574
2023/6/5,157469
2023/6/5,153519
2023/6/5,70636
2023/6/5,199253
2023/6/5,72222
2023/6/6,193368
2023/6/6,129678
2023/6/6,88030
2023/6/6,176895
2023/6/6,147919
2023/6/6,200362
2023/6/7,159694.9
2023/6/7,128726
2023/6/7,51005
2023/6/7,100076
2023/6/7,210170
2023/6/7,173448
2023/6/8,94862
2023/6/8,82159.75
2023/6/8,170496
2023/6/8,188429
2023/6/8,130822
2023/6/8,208933
2023/6/9,144319
2023/6/9,218645
2023/6/9,137191
2023/6/9,108325.5
2023/6/9,195767
2023/6/9,220114
2023/6/10,173373
2023/6/10,130154
2023/6/10,103904
2023/6/10,155808
2023/6/10,132481
2023/6/10,156499
2023/6/11,75481
2023/6/11,152602.69
2023/6/11,135504
2023/6/11,185733
2023/6/11,73398
2023/6/11,203595
2023/6/12,144786
2023/6/12,189637
2023/6/12,83560.69
2023/6/12,219572
2023/6/12,91689
2023/6/12,250387
2023/6/13,196453
2023/6/13,168556
2023/6/13,238476
2023/6/13,100158
2023/6/13,103200
2023/6/13,155626
2023/6/14,143205
2023/6/14,268197
2023/6/14,180709
2023/6/14,96216
2023/6/14,91979
2023/6/15,249603
2023/6/15,161520
2023/6/15,228837
2023/6/15,94474
2023/6/15,129278.7
2023/6/15,190462
2023/6/16,92857
2023/6/16,284828
2023/6/16,172451
2023/6/16,321290
2023/6/16,241436
2023/6/16,143971
2023/6/17,272220
2023/6/17,95252
2023/6/17,158376
2023/6/17,122321.02
2023/6/17,198283
2023/6/18,94061
2023/6/18,105964
2023/6/18,178106
2023/6/18,241842
2023/6/19,105930
2023/6/19,227152
2023/6/19,224051
2023/6/19,180813.6
2023/6/19,117716
2023/6/20,250396
2023/6/20,114190
2023/6/20,199264
2023/6/20,114212.69
2023/6/20,161018
2023/6/21,160364
2023/6/21,174010
2023/6/21,321448
2023/6/21,419696
2023/6/21,176524.4
2023/6/21,107417
2023/6/22,91270
2023/6/22,188167
2023/6/22,194150
2023/6/22,181463
2023/6/22,356950
2023/6/23,141810
2023/6/23,160970
2023/6/23,120922
2023/6/23,101880.67
2023/6/23,83035
2023/6/23,180066
2023/6/24,130175
2023/6/24,130679
2023/6/24,132004.5
2023/6/24,222395
2023/6/24,245351.7
2023/6/24,267329
2023/6/25,227430
2023/6/25,146374
2023/6/25,133500
2023/6/25,287813
2023/6/25,178158
2023/6/26,269100
2023/6/26,254844
2023/6/26,214262
2023/6/26,123724
2023/6/26,130144
2023/6/26,175789
2023/6/27,208158
2023/6/27,130740
2023/6/27,268710
